filename;symbol;codepoint;width;height;weight_total;weight_total_rel;weight_q1;weight_q2;weight_q3;weight_q4;weight_q1_rel;weight_q2_rel;weight_q3_rel;weight_q4_rel;center_x;center_y;center_x_rel;center_y_rel;ix;iy;ix_rel;iy_rel
01_U10480.png;𐒀;U10480;28;38;469;0.440789;102;126;126;115;0.383459;0.473684;0.473684;0.432331;13.814499;19.249467;0.511648;0.520256;59319.812367;29804.861407;0.052398;0.026327
02_U10481.png;𐒁;U10481;34;38;636;0.492260;190;149;152;145;0.588235;0.461300;0.470588;0.448916;15.438679;18.117925;0.467839;0.489674;71248.155660;52712.608491;0.042682;0.031578
03_U10482.png;𐒂;U10482;34;38;463;0.358359;133;104;41;185;0.411765;0.321981;0.126935;0.572755;17.205184;19.207343;0.521369;0.519117;43976.095032;32949.507559;0.026345;0.019739
04_U10483.png;𐒃;U10483;9;37;194;0.582583;14;80;52;48;0.194444;0.888889;0.684211;0.505263;4.319588;18.170103;0.539948;0.504725;22161.386598;674.185567;0.199852;0.006080
05_U10484.png;𐒄;U10484;37;38;593;0.421764;178;124;95;196;0.520468;0.343490;0.277778;0.542936;16.600337;18.330523;0.461120;0.495420;74937.217538;62180.279933;0.037908;0.031454
06_U10485.png;𐒅;U10485;33;39;517;0.401709;156;55;116;190;0.513158;0.170279;0.362500;0.558824;13.943907;21.025145;0.435747;0.553293;67404.673114;41665.373308;0.040694;0.025155
07_U10486.png;𐒆;U10486;33;39;511;0.397047;119;132;133;127;0.391447;0.408669;0.415625;0.373529;15.792564;19.005871;0.493518;0.500154;74096.982387;57744.011742;0.044735;0.034862
08_U10487.png;𐒇;U10487;21;38;266;0.333333;43;124;0;99;0.226316;0.593301;0.000000;0.473684;14.225564;14.285714;0.711278;0.386100;37264.285714;6008.466165;0.058518;0.009435
09_U10488.png;𐒈;U10488;26;39;424;0.418146;108;70;122;124;0.437247;0.283401;0.469231;0.476923;12.160377;20.570755;0.486415;0.541336;55197.877358;18115.094340;0.053684;0.017618
10_U10489.png;𐒉;U10489;25;39;434;0.445128;117;120;67;130;0.513158;0.485830;0.279167;0.500000;12.518433;17.486175;0.521601;0.460163;55724.417051;18382.352535;0.058619;0.019337
11_U1048A.png;𐒊;U1048A;31;39;385;0.318445;135;18;106;126;0.473684;0.059211;0.353333;0.393750;14.283117;20.093506;0.476104;0.528776;50874.633766;16024.140260;0.034806;0.010963
12_U1048B.png;𐒋;U1048B;24;38;446;0.489035;96;120;117;113;0.421053;0.526316;0.513158;0.495614;12.134529;19.197309;0.527588;0.518846;52266.636771;16709.928251;0.062840;0.020090
13_U1048C.png;𐒌;U1048C;32;39;524;0.419872;186;27;137;174;0.611842;0.088816;0.428125;0.543750;13.379771;20.851145;0.431606;0.548714;66352.389313;36435.425573;0.042602;0.023393
14_U1048D.png;𐒍;U1048D;28;38;407;0.382519;144;73;52;138;0.541353;0.274436;0.195489;0.518797;13.292383;18.508600;0.492310;0.500232;49957.719902;21184.206388;0.044129;0.018712
15_U1048E.png;𐒎;U1048E;39;39;765;0.502959;142;197;224;202;0.393352;0.518421;0.589474;0.505000;19.688889;19.773856;0.518129;0.520365;103319.877124;83617.955556;0.044661;0.036144
16_U1048F.png;𐒏;U1048F;21;37;416;0.535393;92;114;94;116;0.511111;0.575758;0.494737;0.555024;10.567308;18.067308;0.528365;0.501870;45602.115385;14326.115385;0.075534;0.023729
17_U10490.png;𐒐;U10490;35;39;526;0.385348;123;100;103;200;0.380805;0.292398;0.302941;0.555556;15.598859;20.439163;0.458790;0.537873;70637.553232;49678.359316;0.037911;0.026663
18_U10491.png;𐒑;U10491;23;38;356;0.407323;118;50;70;118;0.564593;0.219298;0.334928;0.517544;10.713483;20.820225;0.486977;0.562709;39352.494382;15240.775281;0.051517;0.019952
19_U10492.png;𐒒;U10492;25;39;414;0.424615;70;103;137;104;0.307018;0.417004;0.570833;0.400000;11.166667;20.135266;0.465278;0.529875;61420.425121;17761.500000;0.064611;0.018684
20_U10493.png;𐒓;U10493;41;38;567;0.363928;230;42;101;194;0.605263;0.105263;0.265789;0.486216;18.350970;20.029982;0.458774;0.541351;62436.490300;71281.156966;0.025722;0.029366
21_U10494.png;𐒔;U10494;26;38;461;0.466599;120;114;123;104;0.485830;0.461538;0.497976;0.421053;12.199566;19.399132;0.487983;0.524301;56020.559653;24313.639913;0.057390;0.024908
22_U10495.png;𐒕;U10495;25;39;442;0.453333;131;82;126;103;0.574561;0.331984;0.525000;0.396154;10.346154;19.554299;0.431090;0.514587;60363.196833;17452.038462;0.063498;0.018358
23_U10496.png;𐒖;U10496;24;39;360;0.384615;99;69;57;135;0.434211;0.302632;0.237500;0.562500;12.950000;19.819444;0.563043;0.521564;57501.263889;12193.100000;0.065634;0.013918
24_U10497.png;𐒗;U10497;18;38;289;0.422515;99;0;107;83;0.578947;0.000000;0.625731;0.485380;6.276817;22.083045;0.369225;0.596839;33646.006920;6541.854671;0.071915;0.013983
25_U10498.png;𐒘;U10498;21;38;385;0.482456;110;118;54;103;0.578947;0.564593;0.284211;0.492823;10.685714;16.033766;0.534286;0.433345;40358.561039;13566.971429;0.063377;0.021305
26_U10499.png;𐒙;U10499;39;39;492;0.323471;151;33;105;203;0.418283;0.086842;0.276316;0.507500;18.936992;21.934959;0.498342;0.577236;60105.918699;49439.046748;0.025981;0.021370
27_U1049A.png;𐒚;U1049A;24;38;370;0.405702;14;120;115;121;0.061404;0.526316;0.504386;0.530702;13.589189;19.856757;0.590834;0.536669;44099.408108;17641.556757;0.053020;0.021210
28_U1049B.png;𐒛;U1049B;23;38;357;0.408467;111;79;45;122;0.531100;0.346491;0.215311;0.535088;11.515406;16.294118;0.523428;0.440382;38798.117647;15075.165266;0.050791;0.019735
29_U1049C.png;𐒜;U1049C;33;38;536;0.427432;101;97;148;190;0.332237;0.300310;0.486842;0.588235;14.022388;21.785448;0.438200;0.588796;67200.326493;49133.731343;0.042734;0.031245
30_U1049D.png;𐒝;U1049D;51;39;646;0.324786;175;45;192;234;0.368421;0.091093;0.384000;0.450000;24.208978;22.647059;0.484180;0.595975;69489.529412;115026.787926;0.017565;0.029076
